# x y
1.0000000000 0.0012600000
0.9999383162 0.0012686545
0.9997532802 0.0012946120
0.9994449375 0.0013378541
0.9990133642 0.0013983503
0.9984586669 0.0014760583
0.9977809823 0.0015709232
0.9969804777 0.0016828787
0.9960573507 0.0018118463
0.9950118289 0.0019577360
0.9938441703 0.0021204463
0.9925546631 0.0022998641
0.9911436254 0.0024958654
0.9896114053 0.0027083152
0.9879583810 0.0029370675
0.9861849602 0.0031819660
0.9842915806 0.0034428442
0.9822787092 0.0037195255
0.9801468428 0.0040118237
0.9778965074 0.0043195430
0.9755282581 0.0046424787
0.9730426794 0.0049804172
0.9704403845 0.0053331364
0.9677220154 0.0057004060
0.9648882429 0.0060819881
0.9619397663 0.0064776370
0.9588773128 0.0068870999
0.9557016383 0.0073101174
0.9524135262 0.0077464233
0.9490137879 0.0081957455
0.9455032621 0.0086578059
0.9418828150 0.0091323209
0.9381533400 0.0096190020
0.9343157572 0.0101175555
0.9303710135 0.0106276833
0.9263200822 0.0111490832
0.9221639628 0.0116814488
0.9179036807 0.0122244703
0.9135402871 0.0127778344
0.9090748587 0.0133412246
0.9045084972 0.0139143215
0.8998423292 0.0144968033
0.8950775062 0.0150883455
0.8902152037 0.0156886214
0.8852566214 0.0162973025
0.8802029828 0.0169140581
0.8750555348 0.0175385560
0.8698155475 0.0181704623
0.8644843137 0.0188094417
0.8590631489 0.0194551575
0.8535533906 0.0201072719
0.8479563983 0.0207654456
0.8422735530 0.0214293383
0.8365062568 0.0220986087
0.8306559327 0.0227729143
0.8247240242 0.0234519114
0.8187119949 0.0241352553
0.8126213282 0.0248226003
0.8064535268 0.0255135994
0.8002101127 0.0262079043
0.7938926261 0.0269051656
0.7875026260 0.0276050324
0.7810416889 0.0283071524
0.7745114090 0.0290111718
0.7679133975 0.0297167351
0.7612492824 0.0304234850
0.7545207079 0.0311310625
0.7477293342 0.0318391064
0.7408768371 0.0325472535
0.7339649071 0.0332551382
0.7269952499 0.0339623928
0.7199695849 0.0346686469
0.7128896458 0.0353735274
0.7057571793 0.0360766586
0.6985739453 0.0367776619
0.6913417162 0.0374761558
0.6840622763 0.0381717555
0.6767374219 0.0388640732
0.6693689601 0.0395527179
0.6619587091 0.0402372951
0.6545084972 0.0409174072
0.6470201626 0.0415926529
0.6394955530 0.0422626277
0.6319365250 0.0429269233
0.6243449436 0.0435851285
0.6167226819 0.0442368282
0.6090716207 0.0448816041
0.6013936477 0.0455190347
0.5936906573 0.0461486953
0.5859645501 0.0467701579
0.5782172325 0.0473829917
0.5704506160 0.0479867632
0.5626666168 0.0485810361
0.5548671555 0.0491653718
0.5470541567 0.0497393295
0.5392295479 0.0503024666
0.5313952598 0.0508543387
0.5235532254 0.0513945002
0.5157053795 0.0519225045
0.5078536587 0.0524379042
0.5000000000 0.0529402520
0.4921463413 0.0534291004
0.4842946205 0.0539040027
0.4764467746 0.0543645131
0.4686047402 0.0548101874
0.4607704521 0.0552405832
0.4529458433 0.0556552608
0.4451328445 0.0560537833
0.4373333832 0.0564357176
0.4295493840 0.0568006345
0.4217827675 0.0571481096
0.4140354499 0.0574777237
0.4063093427 0.0577890634
0.3986063523 0.0580817218
0.3909283793 0.0583552993
0.3832773181 0.0586094035
0.3756550564 0.0588436506
0.3680634750 0.0590576658
0.3605044470 0.0592510836
0.3529798374 0.0594235488
0.3454915028 0.0595747168
0.3380412909 0.0597042545
0.3306310399 0.0598118406
0.3232625781 0.0598971667
0.3159377237 0.0599599370
0.3086582838 0.0599998697
0.3014260547 0.0600166971
0.2942428207 0.0600101664
0.2871103542 0.0599800396
0.2800304151 0.0599260949
0.2730047501 0.0598481262
0.2660350929 0.0597459444
0.2591231629 0.0596193770
0.2522706658 0.0594682689
0.2454792921 0.0592924830
0.2387507176 0.0590918996
0.2320866025 0.0588664177
0.2254885910 0.0586159545
0.2189583111 0.0583404459
0.2124973740 0.0580398467
0.2061073739 0.0577141302
0.1997898873 0.0573632893
0.1935464732 0.0569873352
0.1873786718 0.0565862986
0.1812880051 0.0561602289
0.1752759758 0.0557091943
0.1693440673 0.0552332816
0.1634937432 0.0547325963
0.1577264470 0.0542072619
0.1520436017 0.0536574200
0.1464466094 0.0530832297
0.1409368511 0.0524848675
0.1355156863 0.0518625266
0.1301844525 0.0512164169
0.1249444652 0.0505467638
0.1197970172 0.0498538084
0.1147433786 0.0491378066
0.1097847963 0.0483990282
0.1049224938 0.0476377568
0.1001576708 0.0468542890
0.0954915028 0.0460489332
0.0909251413 0.0452220094
0.0864597129 0.0443738484
0.0820963193 0.0435047905
0.0778360372 0.0426151852
0.0736799178 0.0417053902
0.0696289865 0.0407757704
0.0656842428 0.0398266971
0.0618466600 0.0388585471
0.0581171850 0.0378717017
0.0544967379 0.0368665459
0.0509862121 0.0358434674
0.0475864738 0.0348028556
0.0442983617 0.0337451007
0.0411226872 0.0326705926
0.0380602337 0.0315797204
0.0351117571 0.0304728709
0.0322779846 0.0293504280
0.0295596155 0.0282127716
0.0269573206 0.0270602769
0.0244717419 0.0258933132
0.0221034926 0.0247122433
0.0198531572 0.0235174227
0.0177212908 0.0223091982
0.0157084194 0.0210879079
0.0138150398 0.0198538797
0.0120416190 0.0186074310
0.0103885947 0.0173488679
0.0088563746 0.0160784844
0.0074453369 0.0147965618
0.0061558297 0.0135033681
0.0049881711 0.0121991576
0.0039426493 0.0108841700
0.0030195223 0.0095586304
0.0022190177 0.0082227485
0.0015413331 0.0068767182
0.0009866358 0.0055207178
0.0005550625 0.0041549088
0.0002467198 0.0027794366
0.0000616838 0.0013944298
0.0000000000 0.0000000000
0.0000616838 -0.0013944298
0.0002467198 -0.0027794366
0.0005550625 -0.0041549088
0.0009866358 -0.0055207178
0.0015413331 -0.0068767182
0.0022190177 -0.0082227485
0.0030195223 -0.0095586304
0.0039426493 -0.0108841700
0.0049881711 -0.0121991576
0.0061558297 -0.0135033681
0.0074453369 -0.0147965618
0.0088563746 -0.0160784844
0.0103885947 -0.0173488679
0.0120416190 -0.0186074310
0.0138150398 -0.0198538797
0.0157084194 -0.0210879079
0.0177212908 -0.0223091982
0.0198531572 -0.0235174227
0.0221034926 -0.0247122433
0.0244717419 -0.0258933132
0.0269573206 -0.0270602769
0.0295596155 -0.0282127716
0.0322779846 -0.0293504280
0.0351117571 -0.0304728709
0.0380602337 -0.0315797204
0.0411226872 -0.0326705926
0.0442983617 -0.0337451007
0.0475864738 -0.0348028556
0.0509862121 -0.0358434674
0.0544967379 -0.0368665459
0.0581171850 -0.0378717017
0.0618466600 -0.0388585471
0.0656842428 -0.0398266971
0.0696289865 -0.0407757704
0.0736799178 -0.0417053902
0.0778360372 -0.0426151852
0.0820963193 -0.0435047905
0.0864597129 -0.0443738484
0.0909251413 -0.0452220094
0.0954915028 -0.0460489332
0.1001576708 -0.0468542890
0.1049224938 -0.0476377568
0.1097847963 -0.0483990282
0.1147433786 -0.0491378066
0.1197970172 -0.0498538084
0.1249444652 -0.0505467638
0.1301844525 -0.0512164169
0.1355156863 -0.0518625266
0.1409368511 -0.0524848675
0.1464466094 -0.0530832297
0.1520436017 -0.0536574200
0.1577264470 -0.0542072619
0.1634937432 -0.0547325963
0.1693440673 -0.0552332816
0.1752759758 -0.0557091943
0.1812880051 -0.0561602289
0.1873786718 -0.0565862986
0.1935464732 -0.0569873352
0.1997898873 -0.0573632893
0.2061073739 -0.0577141302
0.2124973740 -0.0580398467
0.2189583111 -0.0583404459
0.2254885910 -0.0586159545
0.2320866025 -0.0588664177
0.2387507176 -0.0590918996
0.2454792921 -0.0592924830
0.2522706658 -0.0594682689
0.2591231629 -0.0596193770
0.2660350929 -0.0597459444
0.2730047501 -0.0598481262
0.2800304151 -0.0599260949
0.2871103542 -0.0599800396
0.2942428207 -0.0600101664
0.3014260547 -0.0600166971
0.3086582838 -0.0599998697
0.3159377237 -0.0599599370
0.3232625781 -0.0598971667
0.3306310399 -0.0598118406
0.3380412909 -0.0597042545
0.3454915028 -0.0595747168
0.3529798374 -0.0594235488
0.3605044470 -0.0592510836
0.3680634750 -0.0590576658
0.3756550564 -0.0588436506
0.3832773181 -0.0586094035
0.3909283793 -0.0583552993
0.3986063523 -0.0580817218
0.4063093427 -0.0577890634
0.4140354499 -0.0574777237
0.4217827675 -0.0571481096
0.4295493840 -0.0568006345
0.4373333832 -0.0564357176
0.4451328445 -0.0560537833
0.4529458433 -0.0556552608
0.4607704521 -0.0552405832
0.4686047402 -0.0548101874
0.4764467746 -0.0543645131
0.4842946205 -0.0539040027
0.4921463413 -0.0534291004
0.5000000000 -0.0529402520
0.5078536587 -0.0524379042
0.5157053795 -0.0519225045
0.5235532254 -0.0513945002
0.5313952598 -0.0508543387
0.5392295479 -0.0503024666
0.5470541567 -0.0497393295
0.5548671555 -0.0491653718
0.5626666168 -0.0485810361
0.5704506160 -0.0479867632
0.5782172325 -0.0473829917
0.5859645501 -0.0467701579
0.5936906573 -0.0461486953
0.6013936477 -0.0455190347
0.6090716207 -0.0448816041
0.6167226819 -0.0442368282
0.6243449436 -0.0435851285
0.6319365250 -0.0429269233
0.6394955530 -0.0422626277
0.6470201626 -0.0415926529
0.6545084972 -0.0409174072
0.6619587091 -0.0402372951
0.6693689601 -0.0395527179
0.6767374219 -0.0388640732
0.6840622763 -0.0381717555
0.6913417162 -0.0374761558
0.6985739453 -0.0367776619
0.7057571793 -0.0360766586
0.7128896458 -0.0353735274
0.7199695849 -0.0346686469
0.7269952499 -0.0339623928
0.7339649071 -0.0332551382
0.7408768371 -0.0325472535
0.7477293342 -0.0318391064
0.7545207079 -0.0311310625
0.7612492824 -0.0304234850
0.7679133975 -0.0297167351
0.7745114090 -0.0290111718
0.7810416889 -0.0283071524
0.7875026260 -0.0276050324
0.7938926261 -0.0269051656
0.8002101127 -0.0262079043
0.8064535268 -0.0255135994
0.8126213282 -0.0248226003
0.8187119949 -0.0241352553
0.8247240242 -0.0234519114
0.8306559327 -0.0227729143
0.8365062568 -0.0220986087
0.8422735530 -0.0214293383
0.8479563983 -0.0207654456
0.8535533906 -0.0201072719
0.8590631489 -0.0194551575
0.8644843137 -0.0188094417
